23.80,49,807,10.20,72.80
15.20,40,709,2.70,4.70
3.90,12,840,9.70,79.30
35.70,16,278,2.20,67.00
29.10,49,979,7.20,33.60
41.40,28,745,1.10,18.80
24.60,90,668,6.30,95.60
3.70,1,24,0.80,65.80
15.40,13,635,11.60,46.90
1.70,29,94,11.50,39.10
5.20,23,188,0.60,67.70
47.10,1,144,8.70,11.70
9.10,4,294,5.50,56.80
12.00,68,399,1.40,16.50
6.20,30,113,10.50,26.20
12.10,95,821,5.00,24.80
40.90,90,616,11.60,56.80
23.90,54,319,8.50,16.30
38.40,70,813,0.40,100.40
38.40,63,394,10.00,35.30
22.90,17,385,11.50,58.50
18.50,44,420,3.50,83.20
44.50,52,679,2.60,14.50
47.30,69,33,7.50,59.20
11.50,77,808,7.80,28.60
23.80,49,807,10.20,72.80
15.20,40,709,2.70,4.70
3.90,12,840,9.70,79.30
35.70,16,278,2.20,67.00
29.10,49,979,7.20,33.60
41.40,28,745,1.10,18.80
24.60,90,668,6.30,95.60
3.70,1,24,0.80,65.80
15.40,13,635,11.60,46.90
1.70,29,94,11.50,39.10
5.20,23,188,0.60,67.70
47.10,1,144,8.70,11.70
9.10,4,294,5.50,56.80
12.00,68,399,1.40,16.50
6.20,30,113,10.50,26.20
12.10,95,821,5.00,24.80
40.90,90,616,11.60,56.80
23.90,54,319,8.50,16.30
38.40,70,813,0.40,100.40
38.40,63,394,10.00,35.30
22.90,17,385,11.50,58.50
18.50,44,420,3.50,83.20
44.50,52,679,2.60,14.50
47.30,69,33,7.50,59.20
11.50,77,808,7.80,28.60
31.60,74,439,1.20,93.40
7.50,89,755,1.90,51.50
2.60,63,506,4.90,58.40
1.90,97,808,3.10,9.40
30.90,9,775,7.40,83.70
0.60,25,317,8.70,61.40
12.40,76,150,9.40,90.80
9.90,99,378,9.30,11.70
26.30,5,322,4.00,44.00
16.80,85,370,3.30,76.60
11.80,57,266,6.90,76.30
33.70,62,720,3.80,19.30
0.40,58,304,8.50,98.00
7.80,46,955,0.60,56.70
10.40,93,114,10.70,63.90
17.30,2,563,7.70,58.90
3.80,73,303,1.80,38.60
23.30,32,824,9.00,7.10
20.30,0,203,2.30,38.00
32.40,79,780,1.20,16.10
23.80,49,807,10.20,72.80
15.20,40,709,2.70,4.70
3.90,12,840,9.70,79.30
35.70,16,278,2.20,67.00
29.10,49,979,7.20,33.60
41.40,28,745,1.10,18.80
24.60,90,668,6.30,95.60
3.70,1,24,0.80,65.80
15.40,13,635,11.60,46.90
1.70,29,94,11.50,39.10
5.20,23,188,0.60,67.70
47.10,1,144,8.70,11.70
9.10,4,294,5.50,56.80
12.00,68,399,1.40,16.50
6.20,30,113,10.50,26.20
